Time [days],keff_1,Step,Unnamed: 3
0,1.09270183844705,0,0.1
0.336336336336336,1.09134078769427,0.0480480480480481,0.1
0.672672672672673,1.08997973694149,0.0960960960960961,0.1
1.00900900900901,1.08861868618871,0.144144144144144,0.1
1.34534534534535,1.08725763543593,0.192192192192192,0.1
1.68168168168168,1.08589658468315,0.24024024024024,0.1
2.01801801801802,1.08453553393036,0.288288288288288,0.1
2.35435435435435,1.08317448317758,0.336336336336336,0.1
2.69069069069069,1.0818134324248,0.384384384384384,0.1
3.02702702702703,1.08045238167202,0.432432432432432,0.1
3.36336336336336,1.07909133091924,0.480480480480481,0.1
3.6996996996997,1.07773028016646,0.528528528528528,0.1
4.03603603603604,1.07636922941368,0.576576576576577,0.1
4.37237237237237,1.0750081786609,0.624624624624625,0.1
4.70870870870871,1.07364712790812,0.672672672672673,0.1
5.04504504504505,1.07228607715534,0.720720720720721,0.1
5.38138138138138,1.07092502640256,0.768768768768769,0.1
5.71771771771772,1.06956397564978,0.816816816816817,0.1
6.05405405405405,1.068202924897,0.864864864864865,0.1
6.39039039039039,1.06684187414422,0.912912912912913,0.1
6.72672672672673,1.06548082339144,0.960960960960961,0.1
7.06306306306306,1.06438071559376,1.00900900900901,0.1
7.3993993993994,1.06441136060151,1.05705705705706,0.1
7.73573573573574,1.06444200560926,1.10510510510511,0.1
8.07207207207207,1.06447265061701,1.15315315315315,0.1
8.40840840840841,1.06450329562476,1.2012012012012,0.1
8.74474474474475,1.06453394063252,1.24924924924925,0.1
9.08108108108108,1.06456458564027,1.2972972972973,0.1
9.41741741741742,1.06459523064802,1.34534534534535,0.1
9.75375375375375,1.06462587565577,1.39339339339339,0.1
10.0900900900901,1.06465652066352,1.44144144144144,0.1
10.4264264264264,1.06468716567128,1.48948948948949,0.1
10.7627627627628,1.06471781067903,1.53753753753754,0.1
11.0990990990991,1.06474845568678,1.58558558558559,0.1
11.4354354354354,1.06477910069453,1.63363363363363,0.1
11.7717717717718,1.06480974570228,1.68168168168168,0.1
12.1081081081081,1.06484039071004,1.72972972972973,0.1
12.4444444444444,1.06487103571779,1.77777777777778,0.1
12.7807807807808,1.06490168072554,1.82582582582583,0.1
13.1171171171171,1.06493232573329,1.87387387387387,0.1
13.4534534534535,1.06496297074105,1.92192192192192,0.1
13.7897897897898,1.0649936157488,1.96996996996997,0.1
14.1261261261261,1.06502833324399,2.01801801801802,0.1
14.4624624624625,1.06506983821827,2.06606606606607,0.1
14.7987987987988,1.06511134319254,2.11411411411411,0.1
15.1351351351351,1.06515284816681,2.16216216216216,0.1
15.4714714714715,1.06519435314109,2.21021021021021,0.1
15.8078078078078,1.06523585811536,2.25825825825826,0.1
16.1441441441442,1.06527736308963,2.30630630630631,0.1
16.4804804804805,1.06531886806391,2.35435435435435,0.1
16.8168168168168,1.06536037303818,2.4024024024024,0.1
17.1531531531532,1.06540187801245,2.45045045045045,0.1
17.4894894894895,1.06544338298673,2.4984984984985,0.1
17.8258258258258,1.065484887961,2.54654654654655,0.1
18.1621621621622,1.06552639293527,2.5945945945946,0.1
18.4984984984985,1.06556789790955,2.64264264264264,0.1
18.8348348348348,1.06560940288382,2.69069069069069,0.1
19.1711711711712,1.06565090785809,2.73873873873874,0.1
19.5075075075075,1.06569241283237,2.78678678678679,0.1
19.8438438438438,1.06573391780664,2.83483483483483,0.1
20.1801801801802,1.06577542278091,2.88288288288288,0.1
20.5165165165165,1.06581692775519,2.93093093093093,0.1
20.8528528528529,1.06585843272946,2.97897897897898,0.1
21.1891891891892,1.06576642349388,3.02702702702703,0.1
21.5255255255255,1.06557056987285,3.07507507507507,0.1
21.8618618618619,1.06537471625183,3.12312312312312,0.1
22.1981981981982,1.0651788626308,3.17117117117117,0.1
22.5345345345345,1.06498300900978,3.21921921921922,0.1
22.8708708708709,1.06478715538875,3.26726726726727,0.1
23.2072072072072,1.06459130176773,3.31531531531532,0.1
23.5435435435435,1.06439544814671,3.36336336336336,0.1
23.8798798798799,1.06419959452568,3.41141141141141,0.1
24.2162162162162,1.06400374090466,3.45945945945946,0.1
24.5525525525526,1.06380788728363,3.50750750750751,0.1
24.8888888888889,1.06361203366261,3.55555555555555,0.1
25.2252252252252,1.06341618004158,3.6036036036036,0.1
25.5615615615616,1.06322032642056,3.65165165165165,0.1
25.8978978978979,1.06302447279953,3.6996996996997,0.1
26.2342342342342,1.06282861917851,3.74774774774775,0.1
26.5705705705706,1.06263276555749,3.7957957957958,0.1
26.9069069069069,1.06243691193646,3.84384384384384,0.1
27.2432432432432,1.06224105831544,3.89189189189189,0.1
27.5795795795796,1.06204520469441,3.93993993993994,0.1
27.9159159159159,1.06184935107339,3.98798798798799,0.1
28.2522522522523,1.06171365297033,4.03603603603604,0.1
28.5885885885886,1.06159800670658,4.08408408408408,0.1
28.9249249249249,1.06148236044284,4.13213213213213,0.1
29.2612612612613,1.0613667141791,4.18018018018018,0.1
29.5975975975976,1.06125106791536,4.22822822822823,0.1
29.9339339339339,1.06113542165162,4.27627627627628,0.1
30.2702702702703,1.06101977538788,4.32432432432432,0.1
30.6066066066066,1.06090412912414,4.37237237237237,0.1
30.9429429429429,1.06078848286039,4.42042042042042,0.1
31.2792792792793,1.06067283659665,4.46846846846847,0.1
31.6156156156156,1.06055719033291,4.51651651651652,0.1
31.951951951952,1.06044154406917,4.56456456456457,0.1
32.2882882882883,1.06032589780543,4.61261261261261,0.1
32.6246246246246,1.06021025154169,4.66066066066066,0.1
32.960960960961,1.06009460527795,4.70870870870871,0.1
