Step,Time [days],keff_1,CR_Pos
0,0,1.09270183844705,0
0.0480480480480481,0.336336336336336,1.09134078769427,0.038038038038038
0.0960960960960961,0.672672672672673,1.08997973694149,0.0760760760760761
0.144144144144144,1.00900900900901,1.08861868618871,0.114114114114114
0.192192192192192,1.34534534534535,1.08725763543593,0.152152152152152
0.24024024024024,1.68168168168168,1.08589658468315,0.19019019019019
0.288288288288288,2.01801801801802,1.08453553393037,0.228228228228228
0.336336336336336,2.35435435435435,1.08317448317758,0.266266266266266
0.384384384384384,2.69069069069069,1.0818134324248,0.304304304304304
0.432432432432432,3.02702702702703,1.08045238167202,0.342342342342342
0.480480480480481,3.36336336336336,1.07909133091924,0.38038038038038
0.528528528528528,3.6996996996997,1.07773028016646,0.418418418418418
0.576576576576577,4.03603603603604,1.07636922941368,0.456456456456457
0.624624624624625,4.37237237237237,1.0750081786609,0.494494494494495
0.672672672672673,4.70870870870871,1.07364712790812,0.532532532532533
0.720720720720721,5.04504504504505,1.07228607715534,0.570570570570571
0.768768768768769,5.38138138138138,1.07092502640256,0.608608608608609
0.816816816816817,5.71771771771772,1.06956397564978,0.646646646646647
0.864864864864865,6.05405405405405,1.068202924897,0.684684684684685
0.912912912912913,6.39039039039039,1.06684187414422,0.722722722722723
0.960960960960961,6.72672672672673,1.06548082339143,0.760760760760761
1.00900900900901,7.06306306306306,1.06438071559375,0.798798798798799
1.05705705705706,7.3993993993994,1.06441136060151,0.836836836836837
1.10510510510511,7.73573573573573,1.06444200560926,0.874874874874875
1.15315315315315,8.07207207207207,1.06447265061701,0.912912912912913
1.2012012012012,8.40840840840841,1.06450329562476,0.950950950950951
1.24924924924925,8.74474474474475,1.06453394063251,0.988988988988989
1.2972972972973,9.08108108108108,1.06456458564027,1.02702702702703
1.34534534534535,9.41741741741742,1.06459523064802,1.06506506506507
1.39339339339339,9.75375375375375,1.06462587565577,1.1031031031031
1.44144144144144,10.0900900900901,1.06465652066352,1.14114114114114
1.48948948948949,10.4264264264264,1.06468716567127,1.17917917917918
1.53753753753754,10.7627627627628,1.06471781067903,1.21721721721722
1.58558558558559,11.0990990990991,1.06474845568678,1.25525525525526
1.63363363363363,11.4354354354354,1.06477910069453,1.29329329329329
1.68168168168168,11.7717717717718,1.06480974570228,1.33133133133133
1.72972972972973,12.1081081081081,1.06484039071004,1.36936936936937
1.77777777777778,12.4444444444444,1.06487103571779,1.40740740740741
1.82582582582583,12.7807807807808,1.06490168072554,1.44544544544545
1.87387387387387,13.1171171171171,1.06493232573329,1.48348348348348
1.92192192192192,13.4534534534535,1.06496297074104,1.52152152152152
1.96996996996997,13.7897897897898,1.0649936157488,1.55955955955956
2.01801801801802,14.1261261261261,1.06502833324399,1.5975975975976
2.06606606606607,14.4624624624625,1.06506983821827,1.63563563563564
2.11411411411411,14.7987987987988,1.06511134319254,1.67367367367367
2.16216216216216,15.1351351351351,1.06515284816681,1.71171171171171
2.21021021021021,15.4714714714715,1.06519435314109,1.74974974974975
2.25825825825826,15.8078078078078,1.06523585811536,1.78778778778779
2.30630630630631,16.1441441441441,1.06527736308963,1.82582582582583
2.35435435435435,16.4804804804805,1.06531886806391,1.86386386386386
2.4024024024024,16.8168168168168,1.06536037303818,1.9019019019019
2.45045045045045,17.1531531531531,1.06540187801245,1.93993993993994
2.4984984984985,17.4894894894895,1.06544338298672,1.97797797797798
2.54654654654655,17.8258258258258,1.065484887961,2.01601601601602
2.5945945945946,18.1621621621622,1.06552639293527,2.05405405405405
2.64264264264264,18.4984984984985,1.06556789790954,2.09209209209209
2.69069069069069,18.8348348348348,1.06560940288382,2.13013013013013
2.73873873873874,19.1711711711712,1.06565090785809,2.16816816816817
2.78678678678679,19.5075075075075,1.06569241283236,2.20620620620621
2.83483483483483,19.8438438438438,1.06573391780664,2.24424424424424
2.88288288288288,20.1801801801802,1.06577542278091,2.28228228228228
2.93093093093093,20.5165165165165,1.06581692775518,2.32032032032032
2.97897897897898,20.8528528528528,1.06585843272946,2.35835835835836
3.02702702702703,21.1891891891892,1.06576642349387,2.3963963963964
3.07507507507507,21.5255255255255,1.06557056987285,2.43443443443443
3.12312312312312,21.8618618618619,1.06537471625183,2.47247247247247
3.17117117117117,22.1981981981982,1.0651788626308,2.51051051051051
3.21921921921922,22.5345345345345,1.06498300900978,2.54854854854855
3.26726726726727,22.8708708708709,1.06478715538875,2.58658658658659
3.31531531531532,23.2072072072072,1.06459130176773,2.62462462462463
3.36336336336336,23.5435435435435,1.0643954481467,2.66266266266266
3.41141141141141,23.8798798798799,1.06419959452568,2.7007007007007
3.45945945945946,24.2162162162162,1.06400374090465,2.73873873873874
3.50750750750751,24.5525525525526,1.06380788728363,2.77677677677678
3.55555555555555,24.8888888888889,1.06361203366261,2.81481481481481
3.6036036036036,25.2252252252252,1.06341618004158,2.85285285285285
3.65165165165165,25.5615615615616,1.06322032642056,2.89089089089089
3.6996996996997,25.8978978978979,1.06302447279953,2.92892892892893
3.74774774774775,26.2342342342342,1.06282861917851,2.96696696696697
3.7957957957958,26.5705705705706,1.06263276555748,3.005005005005
3.84384384384384,26.9069069069069,1.06243691193646,3.04304304304304
3.89189189189189,27.2432432432432,1.06224105831544,3.08108108108108
3.93993993993994,27.5795795795796,1.06204520469441,3.11911911911912
3.98798798798799,27.9159159159159,1.06184935107339,3.15715715715716
4.03603603603604,28.2522522522523,1.06171365297032,3.1951951951952
4.08408408408408,28.5885885885886,1.06159800670658,3.23323323323323
4.13213213213213,28.9249249249249,1.06148236044284,3.27127127127127
